r,rtype,zr,effshape,dirsign5,authordate,studyid,siteid,ecosystype,expsyst,manip,design,inddivcause,establfrom,divmeas,fglevels,splevels,maxspno,noplots,nospec,tl_manip,tl_measur,trophrel,variable,groupvar,service,ecoserv,residinvad,statdyn,ratestock,resplevel
0.071,univar,0.071,positive,0,Baxter & Dighton 2001,2,S20,forest,greenhouse,direct,substitutive,,juveniles,SpRichn,1,3,low,72,6,Mycorrhiza,1°Producer,symbiont,total mass [mg],1°producer abundance,p,prim prod,1,static,s,com
0.192,univar,0.195,positive,0,Baxter & Dighton 2001,2,S20,forest,greenhouse,direct,substitutive,,juveniles,SpRichn,1,3,low,72,6,Mycorrhiza,1°Producer,symbiont,root N conc. [mg/g],nutrient concentration plants,s,nutrient cycling,1,static,s,com
0.311,univar,0.322,positive linear,2,Baxter & Dighton 2001,2,S20,forest,greenhouse,direct,substitutive,,juveniles,SpRichn,1,3,low,72,6,Mycorrhiza,1°Producer,symbiont,biomass aboveground,1°producer abundance,p,prim prod,1,static,s,com
0.335,univar,0.348,positive linear,2,Baxter & Dighton 2001,2,S20,forest,greenhouse,direct,substitutive,,juveniles,SpRichn,1,3,low,72,6,Mycorrhiza,1°Producer,symbiont,shoot N conc. [mg/g],nutrient concentration plants,s,nutrient cycling,1,static,s,com
0.361,univar,0.378,positive linear,2,Baxter & Dighton 2001,2,S20,forest,greenhouse,direct,substitutive,,juveniles,SpRichn,1,3,low,72,6,Mycorrhiza,Mycorrhiza,same,fungal root tips/m root length [total],Mycorrhiza abundance,s,nutrient cycling,1,static,s,com
0.421,univar,0.449,positive linear,2,Baxter & Dighton 2001,2,S20,forest,greenhouse,direct,substitutive,,juveniles,SpRichn,1,3,low,72,6,Mycorrhiza,1°Producer,symbiont,total P conc. [mgP/g],nutrient concentration plants,s,nutrient cycling,1,static,s,com
0.559,univar,0.631,positive linear,2,Baxter & Dighton 2001,2,S20,forest,greenhouse,direct,substitutive,,juveniles,SpRichn,1,3,low,72,6,Mycorrhiza,1°Producer,symbiont,shoot P conc. [mgP/g],nutrient concentration plants,s,nutrient cycling,1,static,s,com
NA,,NA,no,0,Baxter & Dighton 2001,2,S20,forest,greenhouse,direct,substitutive,,juveniles,SpRichn,1,3,low,72,6,Mycorrhiza,1°Producer,symbiont,root P conc. [mgP/g],nutrient concentration plants,s,nutrient cycling,1,static,s,com
NA,,NA,no,0,Baxter & Dighton 2001,2,S20,forest,greenhouse,direct,substitutive,,juveniles,SpRichn,1,3,low,72,6,Mycorrhiza,1°Producer,symbiont,total N conc. [mg/g],nutrient concentration plants,s,nutrient cycling,1,static,s,com
0.147,univar,0.148,no,0,Bullock et al. 2001,3,S30,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,3,2,high,12,41,1°Producer,1°Producer,same,P concentration (%),nutrient concentration plants,s,nutrient cycling,1,static,s,com
0.21,univar,0.213,no,0,Bullock et al. 2001,3,S30,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,3,2,high,12,41,1°Producer,1°Producer,same,N concentration (%),nutrient concentration plants,s,nutrient cycling,1,static,s,com
0.678,univar,0.825,positive linear,2,Bullock et al. 2001,3,S30,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,3,2,high,12,41,1°Producer,1°Producer,same,biomass aboveground,1°producer abundance,p,prim prod,1,static,s,com
-0.634,multivar,-0.749,negative,-2,Downing & Leibold 2002,4,S40,aquatic fresh,bottle/pot,direct,substitutive,,propagules/colonization,SpRichn,3,3,intermediate,84,15,Multitrophic,1°Producer,within,biomass (periphyton),1°producer abundance,s,prim prod,1,static,s,com
-0.613,multivar,-0.714,negative,-2,Downing & Leibold 2002,4,S40,aquatic fresh,bottle/pot,direct,substitutive,,propagules/colonization,SpRichn,3,3,intermediate,84,15,Multitrophic,1°Consumer,within,zooplankton biomass,1°+consumer abundance,r,bioregulation,1,static,s,com
0.689,multivar,0.845,positive,2,Downing & Leibold 2002,4,S40,aquatic fresh,bottle/pot,direct,substitutive,,propagules/colonization,SpRichn,3,3,intermediate,84,15,Multitrophic,1°Producer,within,biomass (phytoplankton),1°producer abundance,s,prim prod,1,static,s,com
0.648,univar,0.772,positive log-linear,2,Dukes 2001a,5,S50,grassland,bottle/pot,direct,substitutive,,juveniles,SpRichn,2,4,intermediate,60,16,1°Producer,1°Producer,same,biomass aboveground  (97-98 cohort),1°producer abundance,p,prim prod,1,static,s,com
NA,,NA,no,0,Dukes 2001a,5,S50,grassland,bottle/pot,direct,substitutive,,juveniles,SpRichn,2,4,intermediate,60,16,1°Producer,1°Producer,same,biomass aboveground (96-97 cohort),1°producer abundance,p,prim prod,1,static,s,com
NA,,NA,no,0,Dukes 2001a,5,S50,grassland,bottle/pot,direct,substitutive,,juveniles,SpRichn,2,4,intermediate,60,16,1°Producer,1°Producer,same,biomass aboveground (established 97-98 cohort),1°producer abundance,p,prim prod,1,static,s,com
NA,,NA,no,0,Dukes 2001a,5,S50,grassland,bottle/pot,direct,substitutive,,juveniles,SpRichn,2,4,intermediate,60,16,1°Producer,1°Producer,same,biomass aboveground (97-98)/(96-97),1°producer abundance,p,prim prod,1,variable,s,com
-0.663,univar,-0.799,negative linear,-2,Symstad 2000,6,S60,grassland,field,direct,additive,,removal,FgRichn,3,NA,low,30,NA,1°Producer,1°Producer,same,no. invader individuals,Invader 1°producer abundance,r,bioregulation,2,static,s,pop
-0.529,univar,-0.589,negative linear,-2,Symstad 2000,6,S60,grassland,field,direct,additive,,removal,FgRichn,3,NA,low,30,NA,1°Producer,1°Producer,same,invader species cover,Invader 1°producer abundance,r,bioregulation,2,static,s,pop
0.316,univar,0.327,positive linear,2,Symstad 2000,6,S60,grassland,field,direct,additive,,removal,FgRichn,3,NA,low,30,NA,1°Producer,1°Producer,same,-light transmittance,1°producer abundance,p,prim prod,1,static,s,com
NA,,NA,no,0,Symstad 2000,6,S60,grassland,field,direct,additive,,removal,SpRichn,3,NA,low,30,NA,1°Producer,1°Producer,same,no. invader species,Invader 1°producer diversity,r,bioregulation,2,static,s,com
NA,,NA,no,0,Symstad 2000,6,S60,grassland,field,direct,additive,,removal,FgRichn,3,NA,low,30,NA,1°Producer,1°Producer,same,cover,1°producer abundance,p,prim prod,1,static,s,com
NA,,NA,no,0,Symstad 2000,6,S60,grassland,field,direct,additive,,removal,FgRichn,3,NA,low,30,NA,1°Producer,Ecosystem,eco,extractable soil N,soil nutrient supply,s,soil fertility,1,static,s,eco
NA,,NA,no,0,Symstad 2000,6,S60,grassland,field,direct,additive,,removal,FgRichn,3,NA,low,30,NA,1°Producer,1°Producer,same,biomass aboveground,1°producer abundance,p,prim prod,1,static,s,com
NA,,NA,no,0,Symstad 2000,6,S60,grassland,field,direct,additive,,removal,FgRichn,3,NA,low,30,NA,1°Producer,Ecosystem,eco,soil  moisture,water cycle,s,water cycl,1,static,s,eco
NA,,NA,no,0,Symstad 2000,6,S60,grassland,field,direct,additive,,removal,FgRichn,3,NA,low,30,NA,1°Producer,1°Producer,same,species richness,1°producer diversity,r,bioregulation,1,static,s,com
NA,,NA,no,0,Griffiths et al. 2001,7,S70,soil community,greenhouse,direct,additive,,propagules/colonization,diversity,4,4,intermediate,12,NA,Detritivores,Ecosystem,eco,accumul. of nitrate,soil nutrient supply,s,soil fertility,1,static,s,eco
NA,,NA,no,0,Griffiths et al. 2001,7,S70,soil community,greenhouse,direct,additive,,propagules/colonization,diversity,4,4,intermediate,12,NA,Detritivores,Detritivores,same,grass respiration,1°+decomposer abundance,s,nutrient cycling,1,static,r,eco
NA,,NA,no,-1,Griffiths et al. 2001,7,S70,soil community,greenhouse,direct,additive,,propagules/colonization,diversity,4,4,intermediate,12,NA,Detritivores,Detritivores,same,incorp. of leucin,1°+decomposer abundance,s,nutrient cycling,1,static,r,com
NA,,NA,no,-2,Griffiths et al. 2001,7,S70,soil community,greenhouse,direct,additive,,propagules/colonization,diversity,4,4,intermediate,12,NA,Detritivores,Detritivores,same,incorp. of thymidin,1°+decomposer abundance,s,nutrient cycling,1,static,r,com
NA,,NA,no,2,Griffiths et al. 2001,7,S70,soil community,greenhouse,direct,additive,,propagules/colonization,diversity,4,4,intermediate,12,NA,Detritivores,Ecosystem,eco,potential nitrific. rate,soil nutrient supply,s,soil fertility,1,static,s,eco
NA,,NA,no,0,Griffiths et al. 2001,7,S70,soil community,greenhouse,direct,additive,,propagules/colonization,diversity,4,4,intermediate,12,NA,Detritivores,Detritivores,same,substrate induced respiration C,1°+decomposer abundance,s,nutrient cycling,1,static,r,eco
NA,,NA,no,0,Griffiths et al. 2001,7,S70,soil community,greenhouse,direct,additive,,propagules/colonization,diversity,4,4,intermediate,12,NA,Detritivores,Detritivores,same,substrate induced respiration N,1°+decomposer abundance,s,nutrient cycling,1,static,r,eco
NA,,NA,no,0,Griffiths et al. 2001,7,S70,soil community,greenhouse,direct,additive,,propagules/colonization,diversity,4,4,intermediate,12,NA,Detritivores,Detritivores,same,substrate induced respiration P,1°+decomposer abundance,s,nutrient cycling,1,static,r,eco
NA,,NA,no,0,Griffiths et al. 2001,7,S70,soil community,greenhouse,direct,additive,,propagules/colonization,diversity,4,4,intermediate,12,NA,Detritivores,Detritivores,same,decomposition of grass,1°+decomposer abundance,s,nutrient cycling,1,variable,r,eco
NA,,NA,no,0,Griffiths et al. 2001,7,S70,soil community,greenhouse,direct,additive,,propagules/colonization,diversity,4,4,intermediate,12,NA,Detritivores,Detritivores,same,decomposition of grass,1°+decomposer abundance,s,nutrient cycling,1,variable,r,eco
0.422,multivar,0.45,positive,0,Hector et al. 2000,9,S80,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,3,5,intermediate,66,47,1°Producer,Detritivores,above,litter decomposition [%dry weight] **,1°+decomposer abundance,s,nutrient cycling,1,static,r,com
0.476,univar,0.518,positive linear,2,Hector et al. 2000,9,S80,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,3,5,intermediate,66,47,1°Producer,Detritivores,above,litter decomposition [%dry weight] *,1°+decomposer abundance,s,nutrient cycling,1,static,r,com
NA,,NA,negative linear,-2,Hector et al. 2000,9,S80,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,3,5,intermediate,66,47,1°Producer,Detritivores,above,1°+decomposer activity,1°+decomposer abundance,s,nutrient cycling,1,variable,r,com
-0.659,univar,-0.791,negative,-2,Jonsson et al. 2001,10,S90,forest,bottle/pot,direct,substitutive,,propagules/colonization,SpRichn,1,4,low,90,8,Mycorrhiza,1°Producer,symbiont,P.sylvestris: shoot-root ratio,mechanism,NA,NA,1,static,s,pop
-0.621,univar,-0.727,negative,-2,Jonsson et al. 2001,10,S90,forest,bottle/pot,direct,substitutive,,propagules/colonization,SpRichn,1,4,low,90,8,Mycorrhiza,1°Producer,symbiont,P.sylvestris: biomass aboveground,1°producer abundance,p,prim prod,1,static,s,pop
-0.458,univar,-0.495,no,0,Jonsson et al. 2001,10,S90,forest,bottle/pot,direct,substitutive,,propagules/colonization,SpRichn,1,4,low,90,8,Mycorrhiza,1°Producer,symbiont,B.pendula: shoot-root ratio,mechanism,NA,NA,1,static,s,pop
-0.335,univar,-0.348,no,0,Jonsson et al. 2001,10,S90,forest,bottle/pot,direct,substitutive,,propagules/colonization,SpRichn,1,4,low,90,8,Mycorrhiza,1°Producer,symbiont,P.sylvestris: plant height,1°producer abundance,p,prim prod,1,static,s,pop
-0.312,univar,-0.323,no,0,Jonsson et al. 2001,10,S90,forest,bottle/pot,direct,substitutive,,propagules/colonization,SpRichn,1,4,low,90,8,Mycorrhiza,1°Producer,symbiont,P.sylvestris: root tip density,1°producer abundance,p,prim prod,1,static,r,pop
-0.262,univar,-0.268,no,0,Jonsson et al. 2001,10,S90,forest,bottle/pot,direct,substitutive,,propagules/colonization,SpRichn,1,4,low,90,8,Mycorrhiza,1°Producer,symbiont,B.pendula: biomass belowground,1°producer abundance,p,prim prod,1,static,s,pop
-0.207,univar,-0.21,no,0,Jonsson et al. 2001,10,S90,forest,bottle/pot,direct,substitutive,,propagules/colonization,SpRichn,1,4,low,90,8,Mycorrhiza,1°Producer,symbiont,P.sylvestris: biomass belowground,1°producer abundance,p,prim prod,1,static,s,pop
-0.184,univar,-0.186,no,0,Jonsson et al. 2001,10,S90,forest,bottle/pot,direct,substitutive,,propagules/colonization,SpRichn,1,4,low,90,8,Mycorrhiza,1°Producer,symbiont,B.pendula: shoot-root ratio,mechanism,NA,NA,1,static,s,pop
-0.148,univar,-0.149,no,0,Jonsson et al. 2001,10,S90,forest,bottle/pot,direct,substitutive,,propagules/colonization,SpRichn,1,4,low,90,8,Mycorrhiza,1°Producer,symbiont,B.pendula: root tip density,1°producer abundance,p,prim prod,1,static,r,pop
-0.12,univar,-0.121,no,0,Jonsson et al. 2001,10,S90,forest,bottle/pot,direct,substitutive,,propagules/colonization,SpRichn,1,4,low,90,8,Mycorrhiza,1°Producer,symbiont,P.sylvestris: shoot-root ratio,mechanism,NA,NA,1,static,s,pop
-0.101,univar,-0.101,no,0,Jonsson et al. 2001,10,S90,forest,bottle/pot,direct,substitutive,,propagules/colonization,SpRichn,1,4,low,90,8,Mycorrhiza,1°Producer,symbiont,B.pendula: root tip density,1°producer abundance,p,prim prod,1,static,r,pop
-0.093,univar,-0.093,no,0,Jonsson et al. 2001,10,S90,forest,bottle/pot,direct,substitutive,,propagules/colonization,SpRichn,1,4,low,90,8,Mycorrhiza,1°Producer,symbiont,B.pendula: biomass aboveground,1°producer abundance,p,prim prod,1,static,s,pop
-0.045,univar,-0.045,no,0,Jonsson et al. 2001,10,S90,forest,bottle/pot,direct,substitutive,,propagules/colonization,SpRichn,1,4,low,90,8,Mycorrhiza,1°Producer,symbiont,P.sylvestris: biomass aboveground,1°producer abundance,p,prim prod,1,static,s,pop
-0.044,univar,-0.044,no,0,Jonsson et al. 2001,10,S90,forest,bottle/pot,direct,substitutive,,propagules/colonization,SpRichn,1,4,low,90,8,Mycorrhiza,1°Producer,symbiont,B.pendula: plant height,1°producer abundance,p,prim prod,1,static,s,pop
-0.021,univar,-0.021,no,0,Jonsson et al. 2001,10,S90,forest,bottle/pot,direct,substitutive,,propagules/colonization,SpRichn,1,4,low,90,8,Mycorrhiza,1°Producer,symbiont,P.sylvestris: biomass belowground,1°producer abundance,p,prim prod,1,static,s,pop
0.048,univar,0.048,no,0,Jonsson et al. 2001,10,S90,forest,bottle/pot,direct,substitutive,,propagules/colonization,SpRichn,1,4,low,90,8,Mycorrhiza,1°Producer,symbiont,P.sylvestris: plant height,1°producer abundance,p,prim prod,1,static,s,pop
0.052,univar,0.052,no,0,Jonsson et al. 2001,10,S90,forest,bottle/pot,direct,substitutive,,propagules/colonization,SpRichn,1,4,low,90,8,Mycorrhiza,1°Producer,symbiont,P.sylvestris: root tip density,1°producer abundance,p,prim prod,1,static,r,pop
0.356,univar,0.372,no,0,Jonsson et al. 2001,10,S90,forest,bottle/pot,direct,substitutive,,propagules/colonization,SpRichn,1,4,low,90,8,Mycorrhiza,Mycorrhiza,same,B.pendula: mycorrhizal colonisation,Mycorrhiza abundance,s,nutrient cycling,1,static,s,pop
0.357,univar,0.373,no,0,Jonsson et al. 2001,10,S90,forest,bottle/pot,direct,substitutive,,propagules/colonization,SpRichn,1,4,low,90,8,Mycorrhiza,Mycorrhiza,same,P.sylvestris: mycorrhizal colonisation,Mycorrhiza abundance,s,nutrient cycling,1,static,s,pop
0.365,univar,0.383,no,0,Jonsson et al. 2001,10,S90,forest,bottle/pot,direct,substitutive,,propagules/colonization,SpRichn,1,4,low,90,8,Mycorrhiza,Mycorrhiza,same,B.pendula: mycorrhizal colonisation,Mycorrhiza abundance,s,nutrient cycling,1,static,s,pop
0.39,univar,0.412,no,0,Jonsson et al. 2001,10,S90,forest,bottle/pot,direct,substitutive,,propagules/colonization,SpRichn,1,4,low,90,8,Mycorrhiza,Mycorrhiza,same,P.sylvestris: mycorrhizal colonisation,Mycorrhiza abundance,s,nutrient cycling,1,static,s,pop
0.729,univar,0.927,positive,2,Jonsson et al. 2001,10,S90,forest,bottle/pot,direct,substitutive,,propagules/colonization,SpRichn,1,4,low,90,8,Mycorrhiza,1°Producer,symbiont,B.pendula: biomass aboveground,1°producer abundance,p,prim prod,1,static,s,pop
0.807,univar,1.118,positive,2,Jonsson et al. 2001,10,S90,forest,bottle/pot,direct,substitutive,,propagules/colonization,SpRichn,1,4,low,90,8,Mycorrhiza,1°Producer,symbiont,B.pendula: biomass belowground,1°producer abundance,p,prim prod,1,static,s,pop
0.827,univar,1.179,positive,2,Jonsson et al. 2001,10,S90,forest,bottle/pot,direct,substitutive,,propagules/colonization,SpRichn,1,4,low,90,8,Mycorrhiza,1°Producer,symbiont,B.pendula: plant height,1°producer abundance,p,prim prod,1,static,s,pop
-0.382,univar,-0.403,negative linear,-2,Liiri et al. 2002,11,S100,soil community,greenhouse,direct,additive,,propagules/colonization,SpRichn,1,8,high,40,NA,Detritivores,Detritivores,same,biomass total (PLFA),1°+decomposer abundance,s,nutrient cycling,1,variable,s,com
0.284,univar,0.292,positive,1,Liiri et al. 2002,11,S100,soil community,greenhouse,direct,additive,,propagules/colonization,SpRichn,1,8,high,40,NA,Detritivores,Detritivores,same,biomass total (PLFA),1°+decomposer abundance,s,nutrient cycling,1,variable,s,com
0.424,univar,0.453,positive linear,2,Liiri et al. 2002,11,S100,soil community,greenhouse,direct,additive,,propagules/colonization,SpRichn,1,8,high,40,NA,Detritivores,1°Producer,above,root biomass,1°producer abundance,p,prim prod,1,static,s,com
0.608,univar,0.706,positive log-linear,2,Liiri et al. 2002,11,S100,soil community,greenhouse,direct,additive,,propagules/colonization,SpRichn,1,8,high,40,NA,Detritivores,1°Producer,above,nitrogen content of leaves,nutrient concentration plants,s,nutrient cycling,1,static,s,com
0.648,univar,0.772,positive log-linear,2,Liiri et al. 2002,11,S100,soil community,greenhouse,direct,additive,,propagules/colonization,SpRichn,1,8,high,40,NA,Detritivores,1°Producer,above,biomass aboveground,1°producer abundance,p,prim prod,1,static,s,com
0.656,univar,0.785,positive log-linear,2,Liiri et al. 2002,11,S100,soil community,greenhouse,direct,additive,,propagules/colonization,SpRichn,1,8,high,40,NA,Detritivores,1°Producer,above,biomass (birch),1°producer abundance,p,prim prod,1,static,s,com
0.906,univar,1.502,positive log-linear,2,Liiri et al. 2002,11,S100,soil community,greenhouse,direct,additive,,propagules/colonization,SpRichn,1,8,high,40,NA,Detritivores,Detritivores,same,biomass (microarthropod),1°+decomposer abundance,s,nutrient cycling,1,static,s,com
NA,,NA,no,0,Liiri et al. 2002,11,S100,soil community,greenhouse,direct,additive,,propagules/colonization,SpRichn,1,8,high,40,NA,Detritivores,1°Producer,above,biomass aboveground,1°producer abundance,p,prim prod,1,variable,s,com
NA,,NA,no,0,Liiri et al. 2002,11,S100,soil community,greenhouse,direct,additive,,propagules/colonization,SpRichn,1,8,high,40,NA,Detritivores,Detritivores,same,biomass (microbes),1°+decomposer abundance,s,nutrient cycling,1,static,s,com
NA,,NA,no,0,Liiri et al. 2002,11,S100,soil community,greenhouse,direct,additive,,propagules/colonization,SpRichn,1,8,high,40,NA,Detritivores,Detritivores,same,diversity (fungi),1°+decomposer diversity,r,bioregulation,1,static,s,com
NA,,NA,no,0,Liiri et al. 2002,11,S100,soil community,greenhouse,direct,additive,,propagules/colonization,SpRichn,1,8,high,40,NA,Detritivores,Ecosystem,eco,nitrogen loss of system,nutrient loss,s,nutrient cycling,1,static,r,eco
NA,,NA,no,0,Liiri et al. 2002,11,S100,soil community,greenhouse,direct,additive,,propagules/colonization,SpRichn,1,8,high,40,NA,Detritivores,1°Producer,above,shoot-root ratio,mechanism,NA,NA,1,static,s,com
-0.714,univar,-0.896,negative log-linear,-2,Mitchell et al. 2002,12,S60,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,1,7,low,147,24,1°Producer,1°Consumer,above,disease severity (Aster fungal leaf spot),1°+consumer abundance,r,bioregulation,1,static,r,pop
-0.64,univar,-0.757,negative log-linear,-2,Mitchell et al. 2002,12,S60,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,1,7,low,147,24,1°Producer,1°Consumer,above,disease severity (Sporobolus fungal leaf spot),1°+consumer abundance,r,bioregulation,1,static,r,pop
-0.613,univar,-0.714,negative log-linear,-2,Mitchell et al. 2002,12,S60,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,1,7,low,147,24,1°Producer,1°Consumer,above,disease severity (Petalostemum fungal stem spot),1°+consumer abundance,r,bioregulation,1,static,r,pop
-0.608,univar,-0.705,negative linear,-2,Mitchell et al. 2002,12,S60,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,1,7,low,147,24,1°Producer,1°Consumer,above,disease severity (Anemone fungal leaf spot)),1°+consumer abundance,r,bioregulation,1,static,r,pop
-0.554,univar,-0.624,negative log-linear,-2,Mitchell et al. 2002,12,S60,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,1,7,low,147,24,1°Producer,1°Consumer,above,disease severity (Solidago fungal leaf spot),1°+consumer abundance,r,bioregulation,1,static,r,pop
-0.503,univar,-0.553,negative linear,-2,Mitchell et al. 2002,12,S60,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,1,7,low,147,24,1°Producer,1°Consumer,above,disease severity (Bouteloua fungal leaf spot),1°+consumer abundance,r,bioregulation,1,static,r,pop
-0.497,univar,-0.545,negative linear,-2,Mitchell et al. 2002,12,S60,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,1,7,low,147,24,1°Producer,1°Consumer,above,disease severity (Sorghastrum fungal leaf spot),1°+consumer abundance,r,bioregulation,1,static,r,pop
-0.476,univar,-0.518,negative linear,-2,Mitchell et al. 2002,12,S60,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,1,7,low,147,24,1°Producer,1°Consumer,above,disease severity (Euphrobia-Panicum rust on P.),1°+consumer abundance,r,bioregulation,1,static,r,pop
-0.438,univar,-0.47,negative linear,-2,Mitchell et al. 2002,12,S60,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,1,7,low,147,24,1°Producer,1°Consumer,above,disease severity (Coreopsis bacterial leaf spot),1°+consumer abundance,r,bioregulation,1,static,r,pop
-0.425,univar,-0.454,negative log-linear,-2,Mitchell et al. 2002,12,S60,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,1,7,low,147,24,1°Producer,1°Consumer,above,pathogen load,1°+consumer abundance,r,bioregulation,1,static,r,com
-0.405,univar,-0.43,negative linear,-2,Mitchell et al. 2002,12,S60,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,1,7,low,147,24,1°Producer,1°Consumer,above,disease severity (Liatris fungal leaf spot),1°+consumer abundance,r,bioregulation,1,static,r,pop
-0.358,univar,-0.374,negative linear,-2,Mitchell et al. 2002,12,S60,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,1,7,low,147,24,1°Producer,1°Consumer,above,"disease severity (Achillea, leaf necrosis)",1°+consumer abundance,r,bioregulation,1,static,r,pop
-0.351,univar,-0.366,negative linear,0,Mitchell et al. 2002,12,S60,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,1,7,low,147,24,1°Producer,1°Consumer,above,disease severity (Panicum fungal leaf spot),1°+consumer abundance,r,bioregulation,1,static,r,pop
-0.342,univar,-0.356,negative linear,0,Mitchell et al. 2002,12,S60,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,1,7,low,147,24,1°Producer,1°Consumer,above,disease severity (Coreopsis fungal leaf spot),1°+consumer abundance,r,bioregulation,1,static,r,pop
-0.257,univar,-0.263,negative linear,0,Mitchell et al. 2002,12,S60,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,1,7,low,147,24,1°Producer,1°Consumer,above,"disease severity (Andropogon, fungal leaf spot))",1°+consumer abundance,r,bioregulation,1,static,r,pop
-0.205,univar,-0.208,negative linear,0,Mitchell et al. 2002,12,S60,grassland,field,direct,substitutive,,propagules/colonization,SpRichn,1,7,low,147,24,1°Producer,1°Consumer,above,disease severity (Buchloe fungal leaf spot),1°+consumer abundance,r,bioregulation,1,static,r,pop
